Veri Kaynağı,Algoritma,precision,id_precision,recall,f1_score,id_f1,mota,id_switches,rmse_pos_m,rmse_x_m,rmse_y_m,rmse_z_m,rmse_vel_mps,rmse_vx_mps,rmse_vy_mps,rmse_vz_mps,nees
Kendi Ürettiğim Veri,Basic (CV),0.6969837157660992,0.6954108068097705,0.23417682168614773,0.35056775874906926,0.35036845911644315,0.13183909475254907,17.0,223.81006202495328,132.11415580239898,115.03041209847697,139.30110549700402,6.784125918571506,3.4708769318864263,5.318678706070524,2.3851697265235288,29.224409795870354
Kendi Ürettiğim Veri,Advanced (CA+CI),0.7673160173160173,0.7653482880755608,0.2424459089778662,0.3684682982141169,0.3682409800128986,0.16830390450136778,20.0,270.98995039923375,155.15533443958233,155.4103228258258,158.7765945329888,9.722396133093755,5.268975897321446,7.28340801567552,3.7033562128744335,3.969251826297761
Kendi Ürettiğim Veri,IMM (CI),0.5717104499555075,0.5705110844585445,0.4593695598109923,0.5094199775920021,0.5089432978340818,0.11427505595622978,31.0,247.5573969077443,140.81357167331137,112.6397244544095,169.61278038867928,12.877833818956995,8.310767057656038,9.343712042532626,3.07649151604266,22.87682018829117
Stone Soup,Basic (CV),0.33420845366237856,0.33158309267524283,0.5342005874947545,0.41117571059431524,0.4091827715571223,-0.5342005874947544,40.0,262.7764557888888,149.41263745324426,130.1029956899927,172.62832907354746,9.327515534688954,3.281527833248619,8.422489505864851,2.3012587105918456,31.01302149048093
Stone Soup,Advanced (CA+CI),0.6003824091778203,0.596264156493602,0.4282417121275703,0.49990815014389806,0.4984748083498576,0.14026437263952996,28.0,277.4756127229196,151.72336925501583,135.3591429516245,188.81376352709952,9.854207396633916,4.451981612049758,7.0739402782099186,5.219639075852354,14.20181122042808
Stone Soup,IMM (CI),0.4062303617919023,0.40371667115539994,0.4747167436005036,0.4378114266363505,0.43634738899676817,-0.2220939991607218,28.0,278.2280718643326,153.76053273442992,137.30058186521873,186.8612018746559,7.843030969945626,2.043856904431808,7.360196659139749,1.7785637150579414,33.61613801915205
