,precision,id_precision,recall,f1_score,id_f1,mota,id_switches,rmse_pos_m,rmse_x_m,rmse_y_m,rmse_z_m,rmse_vel_mps,rmse_vx_mps,rmse_vy_mps,rmse_vz_mps,nees
Basic (CV),0.8043233275279172,0.8026841512140149,0.2777148921117793,0.4128737082906051,0.4126574228870631,0.20958613371064738,16.0,201.19773252590164,111.1663491062943,118.0984701908483,119.06016016503203,14.138972612013122,3.675242889139058,13.450589659280773,2.3419594460065105,67.3600986695139
"Advanced (CA+CI, Adaptive Q)",0.6103072828453907,0.6092426808613598,0.4461266360099045,0.5154592827219782,0.5150791924330481,0.16048814998231342,22.0,250.09249654543294,145.52909432501335,144.04262205615663,143.59408958747562,19.982480173272542,6.851458595657948,18.308055371563366,4.143927786410469,8.699491347333058
"Advanced (CA+CI, Fixed Q)",0.6102777508951902,0.6092132004258202,0.4461266360099045,0.5154487493869544,0.5150686562476824,0.1604527767951892,22.0,250.0919109276167,145.52447160067715,144.05282003588968,143.58752423688577,19.981865994814658,6.8502078395520805,18.30799639136579,4.143294501167733,8.700162949479823
IMM (CI),0.6009187482055699,0.5999343751281736,0.5182525645560665,0.5565326394560408,0.5561101054593176,0.173222497347011,24.0,230.84861584920904,119.20940183924452,122.19558956215423,155.39768287906597,22.01864091785609,7.33623925638267,20.502219079460893,3.2648360235065486,74.14660259513245
