time,callsign,x,vx,y,vy,z,vz
0.0,TARGET_001,0.0,220.0,0.0,80.0,8000.0,2.0
1.0,TARGET_001,219.96730760817638,219.94299839448902,80.11419605829883,80.07852335438731,8002.100862815463,2.1637493680746975
2.0,TARGET_001,439.89616717242734,219.8483919916149,160.19484446186576,80.06633952165282,8004.251997241146,2.2117683730175757
3.0,TARGET_001,659.8186013276852,220.14686692716074,240.1963773037708,80.08496392474025,8006.379212128193,2.105482881610658
4.0,TARGET_001,880.0140744899282,220.2985401429313,320.6113108158863,80.4352978555017,8008.601050165471,2.2264100186233975
5.0,TARGET_001,1100.158940088033,220.19987226654553,401.26075265601617,80.80133349391869,8010.861891992626,2.2125869299475345
6.0,TARGET_001,1320.4150622890822,220.23215259775122,482.05571706293927,80.61623142720782,8013.103577662144,2.367110315398537
7.0,TARGET_001,1540.7992679091271,220.38296867996075,562.8026326281932,80.96189482610485,8015.403187758477,2.3607609270289456
8.0,TARGET_001,1760.9903595465555,220.03286983441276,643.5983753062777,80.69686659791846,8017.787905115155,2.322242204006589
9.0,TARGET_001,1981.0520663553111,220.02716198801602,724.1231614290383,80.38681102617994,8020.183139943187,2.371398345708565
10.0,TARGET_001,2200.8752265198696,219.89808198023738,804.5314052379989,80.43969745822827,8022.442575608075,2.1679416219002623
11.0,TARGET_001,2420.6216326782783,219.7916267661359,884.8808884254026,80.44202009309173,8024.635304919131,2.2254195019095975
12.0,TARGET_001,2640.5477521107077,220.1401725257825,965.195510338126,80.10893833078646,8026.916910453284,2.331936232816477
13.0,TARGET_001,2860.709271564224,220.26680085472591,1045.3495014326634,80.29926918157054,8029.294601492633,2.431596412776275
14.0,TARGET_001,3080.8674825230073,219.9713881682796,1125.6426640219108,80.32249223458757,8031.710016954855,2.4876758716417644
15.0,TARGET_001,3300.8115813302597,219.85448877300107,1205.9847993166363,80.32676925708282,8034.2093460691385,2.5305205088850835
16.0,TARGET_001,3520.5075451027856,219.62699159495295,1286.3367887303332,80.38781766181079,8036.717713179293,2.5320393426627907
17.0,TARGET_001,3739.866405857745,219.36546203686984,1366.9087833276312,80.70849705272565,8039.295586108712,2.6301567926603218
18.0,TARGET_001,3959.255266059059,219.62637238572222,1447.6165061544978,80.68367493800595,8041.924535295756,2.7130791799018246
19.0,TARGET_001,4178.97421498639,219.96956197846905,1528.1876022875188,80.52895792514055,8044.777145614995,2.967977347878291
20.0,TARGET_001,4398.9070062013625,219.87982924244142,1608.777704426898,80.55550822753783,8047.753065270729,2.9846201532058565
21.0,TARGET_001,4618.750214977147,219.64959010338356,1689.3725535550916,80.64879847748159,8050.7237186201055,2.978903018920176
22.0,TARGET_001,4838.439055198597,219.74592114938525,1770.206664688951,80.93557948515472,8053.755506173216,2.9954142041690517
23.0,TARGET_001,5058.141735867957,219.7833974903227,1851.2594807831583,81.01743929730516,8056.6464602222895,2.85165513902879
24.0,TARGET_001,5277.9424061548925,219.86865828364745,1932.2233664152059,81.0057978897224,8059.601590060957,3.0870337313141474
25.0,TARGET_001,5497.97311276136,220.18232287565374,2013.2379080542303,80.97484580595321,8062.725902123086,3.0233233014507435
26.0,TARGET_001,5718.192411266947,220.46075017397638,2094.031235611047,80.75101109512221,8065.83623662809,3.190209317278034
27.0,TARGET_001,5938.619437565519,220.25681860387812,2174.9293766047545,81.1228459066958,8068.980608224801,3.1708519602899576
28.0,TARGET_001,6159.0670894476125,220.74340173957455,2255.9196399956327,80.88733634381678,8072.029475809279,3.0361387949134815
29.0,TARGET_001,6379.814891913193,220.7870159574879,2336.595331233327,80.50241982601193,8075.202547868042,3.2712941904821102
30.0,TARGET_001,6600.528694536153,220.63233704131565,2417.2473423087704,80.80073765616778,8078.569947187352,3.383613889782033
31.0,TARGET_001,6821.104193906594,220.63058605757897,2498.089639619732,80.89718128013199,8081.956502098346,3.2758115598470465
32.0,TARGET_001,7041.789499133839,220.74327958211282,2579.002373896203,80.80794266232043,8085.211318209853,3.2253297536935
33.0,TARGET_001,7262.713433780066,220.87894871048536,2659.7419932654548,80.75343985612857,8088.445344760537,3.1782804331685215
34.0,TARGET_001,7483.592537842831,220.742818065007,2740.297868911888,80.2960939571814,8091.556683743513,3.0956244405320277
35.0,TARGET_001,7704.672839735787,221.31595661508885,2820.4280456852366,80.04448113791315,8094.725354360318,3.230316462327111
36.0,TARGET_001,7926.134490853319,221.39270962941936,2900.5228640658884,79.95409945391968,8097.94403024375,3.1487860308131412
37.0,TARGET_001,8147.704860356891,221.71271026260527,2980.5965921632087,80.13122257505772,8101.129045359562,3.107295506150226
38.0,TARGET_001,8369.412536026082,221.73961651447607,3060.670074048966,79.92881923909447,8104.120436741118,2.923915999509193
39.0,TARGET_001,8591.15791626794,221.8415785792789,3140.5211797443617,79.89420282687742,8107.032532932183,2.979075951451743
40.0,TARGET_001,8812.844584102237,221.62397141925612,3220.3624292216136,79.67678704297607,8109.9640380765995,2.914126616100253
41.0,TARGET_001,9034.586753971986,221.87243381086705,3300.1008671292534,79.89263420341544,8112.975764414599,2.9661840373429773
42.0,TARGET_001,9256.268718500289,221.66979466937283,3379.868495332686,79.70385377787518,8115.878141373909,2.780303823408354
43.0,TARGET_001,9477.81211358519,221.63870931713484,3459.560135698996,79.47552028218567,8118.542374572481,2.693813540807538
44.0,TARGET_001,9699.468197205853,221.72496533525276,3539.099586181075,79.62989927229764,8121.18106663378,2.680022566507788
45.0,TARGET_001,9921.263457964504,221.8211461729028,3618.706634377966,79.57537244929522,8123.687926758416,2.393117947673957
46.0,TARGET_001,10143.062427006878,221.86063666518484,3698.28543439702,79.6089233766582,8126.015651103478,2.32310658783473
47.0,TARGET_001,10364.885796421293,221.79503546677867,3777.768198860745,79.45299393098134,8128.260632490002,2.0363844542465577
48.0,TARGET_001,10586.511782595273,221.3583482441996,3857.0423066765566,79.24364515325745,8130.424010377406,2.1652179336467774
49.0,TARGET_001,10807.86697454405,221.21597232066358,3936.253881295188,79.08789931987798,8132.55249279996,2.161721229773626
50.0,TARGET_001,11029.05919497886,221.1606290427455,4015.446123005187,79.15725090590668,8134.7447692377245,2.1275877008323905
51.0,TARGET_001,11250.346214542516,221.378922968703,4094.448527075654,78.99312236925944,8136.854757980184,2.1636018388507634
52.0,TARGET_001,11471.695744330242,221.3186772609636,4173.287077678947,78.81597895702912,8139.0673912060265,2.0498105008227414
53.0,TARGET_001,11693.019359353568,221.41742231274924,4252.014015543342,78.62602183992111,8141.077357999878,2.090556889528665
54.0,TARGET_001,11914.532439148983,221.42002641048433,4330.678034447954,78.76630423765874,8143.265107648706,2.2803740602837568
55.0,TARGET_001,12135.8057237145,221.24256882039583,4409.488580366945,78.82180310891391,8145.536909483198,2.1894750341490155
56.0,TARGET_001,12356.970969437827,221.2393465554226,4488.35155253236,78.97056083798537,8147.755500564205,2.2586285804444657
57.0,TARGET_001,12578.00380785152,220.74952085238604,4567.259467330535,78.99965703693083,8150.062450197848,2.272686896293474
58.0,TARGET_001,12798.509551518664,220.24038004713628,4646.34263245614,79.1224320957764,8152.422957488858,2.4263582625739897
59.0,TARGET_001,13018.737746642104,220.26384964408652,4725.536748155985,79.36036323325894,8154.9559277568105,2.6294466331812094
60.0,TARGET_001,13238.822836314504,219.80970560844432,4804.693665587441,79.05758191490392,8157.574637866823,2.697931996401727
61.0,TARGET_001,13458.725638844358,219.78119896507604,4883.862318068636,79.17587334095685,8160.46112083735,2.870350032593131
62.0,TARGET_001,13678.473365317564,219.70004385777656,4962.828275152489,78.83446389020045,8163.223407362069,2.7868305631863155
63.0,TARGET_001,13898.22135169339,219.59319587171058,5041.685670253447,78.88663445957401,8165.989812053326,2.755454132190151
64.0,TARGET_001,14117.629260496895,219.3361388231374,5120.388864680716,78.7628234497478,8168.836835415967,2.8396689137424223
65.0,TARGET_001,14337.004563083496,219.3616963946394,5199.158135808977,78.86623137827107,8171.5849347990315,2.7039719235878787
66.0,TARGET_001,14556.523277558472,219.5582683936987,5277.93671305772,78.74204890247198,8174.276893139218,2.62366621776003
67.0,TARGET_001,14776.02927322461,219.59907208295573,5356.500947060641,78.59586738964532,8176.872423850542,2.4318694758101396
68.0,TARGET_001,14995.538714421256,219.4544370704271,5435.110983561834,78.59429672674754,8179.417871038391,2.5542404716042824
69.0,TARGET_001,15214.969096311745,219.35510806847586,5513.799853256309,78.97558300657624,8181.871702245151,2.4455984259433614
70.0,TARGET_001,15434.345590500447,219.50426864247027,5593.042276581625,79.20403911639592,8184.489873606303,2.726957929376863
71.0,TARGET_001,15653.889379987766,219.44152693030088,5672.434903066133,79.39893521525829,8187.191672494786,2.8219487573909365
72.0,TARGET_001,15873.357151668422,219.382736781987,5751.860135133578,79.48930735718905,8190.018953662481,2.9221398232397235
73.0,TARGET_001,16092.645731874001,219.2462256789152,5831.297393815421,79.44681334668483,8192.951400099299,2.9385641302402603
