x,vx,y,vy,time,target
100.1986856612045,100.1986856612045,9999.944694279531,-0.055305720468473867,0.0,TARGET_1_LINEAR
200.65644673764928,100.45776107644477,10000.498600501625,0.5539062220947364,1.0,TARGET_1_LINEAR
301.0205464642047,100.36409972655544,10000.95885194094,0.4602514393150642,2.0,TARGET_1_LINEAR
402.0163313169631,100.99578485275839,10001.726077271916,0.7672253309762277,3.0,TARGET_1_LINEAR
502.8243264153475,100.80799509838441,10002.710326620327,0.9842493484106136,4.0,TARGET_1_LINEAR
603.4469544366069,100.62262802125943,10003.50828406731,0.7979574469825108,5.0,TARGET_1_LINEAR
704.1663673664928,100.71941292988585,10003.54092941643,0.03264534911939165,6.0,TARGET_1_LINEAR
804.1958131633734,100.02944579688064,10003.348659753852,-0.19226966257699743,7.0,TARGET_1_LINEAR
903.8201265121203,99.62431334874687,10003.282089024313,-0.06657072953888787,8.0,TARGET_1_LINEAR
1003.0812302306587,99.26110371853838,10002.65059681424,-0.6314922100730045,9.0,TARGET_1_LINEAR
1102.9285934567656,99.847363226107,10001.928794083971,-0.7218027302676188,10.0,TARGET_1_LINEAR
1202.8029679647477,99.87437450798218,10000.637092079218,-1.2917020047530015,11.0,TARGET_1_LINEAR
1302.4595893829198,99.65662141817211,9999.389759110349,-1.247332968869055,12.0,TARGET_1_LINEAR
1401.655813370123,99.19622398720318,9998.292705348818,-1.0970537615307863,13.0,TARGET_1_LINEAR
1500.6117818813586,98.95596851123567,9997.07897408737,-1.213731261448097,14.0,TARGET_1_LINEAR
1599.3270677477026,98.7152858663439,9996.606154099725,-0.47281998764452193,15.0,TARGET_1_LINEAR
1698.0369547241512,98.70988697644873,9995.710249740498,-0.895904359226882,16.0,TARGET_1_LINEAR
1797.0758596654412,99.03890494129,9994.326007921281,-1.384241819215291,17.0,TARGET_1_LINEAR
1896.198310044733,99.1224503792919,9992.157898052514,-2.168109868767201,18.0,TARGET_1_LINEAR
1994.7894860044655,98.59117595973254,9990.068532678095,-2.0893653744195517,19.0,TARGET_1_LINEAR
2093.6760485961963,98.88656259173071,9988.047714616152,-2.0208180619435634,20.0,TARGET_1_LINEAR
2192.516351874972,98.84030327877541,9985.906455075972,-2.141259540179279,21.0,TARGET_1_LINEAR
2290.7652463576005,98.24889448262844,9983.477257852435,-2.4291972235371624,22.0,TARGET_1_LINEAR
2388.829885331845,98.06463897424453,9981.470909519385,-2.006348333049596,23.0,TARGET_1_LINEAR
2487.031971621917,98.20208629007192,9978.75934512419,-2.7115643951946895,24.0,TARGET_1_LINEAR
2585.363691499747,98.33171987782984,9975.893747816828,-2.865597307361216,25.0,TARGET_1_LINEAR
2683.4246425774545,98.06095107770746,9973.272821025002,-2.620926791824869,26.0,TARGET_1_LINEAR
2781.89799346416,98.47335088670584,9971.024406280823,-2.2484147441783895,27.0,TARGET_1_LINEAR
2880.035657341577,98.13766387741678,9968.652306586304,-2.3720996945188753,28.0,TARGET_1_LINEAR
2978.305826591555,98.27016924997821,9966.670424942635,-1.9818816436699316,29.0,TARGET_1_LINEAR
3076.3843261463953,98.07849955484009,9964.6142797083,-2.0561452343354585,30.0,TARGET_1_LINEAR
3174.020291711633,97.63596556523768,9962.079651824331,-2.534627883967727,31.0,TARGET_1_LINEAR
3271.981267605828,97.96097589419536,9960.087519951792,-1.9921318725393977,32.0,TARGET_1_LINEAR
3369.9134394513912,97.93217184556322,9958.496801238409,-1.590718713382588,33.0,TARGET_1_LINEAR
3467.9902657069733,98.07682625558228,9956.648034623184,-1.8487666152246378,34.0,TARGET_1_LINEAR
3566.211650204759,98.22138449778564,9955.414482634545,-1.2335519886382502,35.0,TARGET_1_LINEAR
3664.4187042869003,98.20705408214165,9954.806788108233,-0.6076945263126476,36.0,TARGET_1_LINEAR
3761.577860327406,97.15915604050575,9954.52785458367,-0.2789335245625581,37.0,TARGET_1_LINEAR
3858.771835195207,97.19397486780102,9954.129318118921,-0.3985364647489051,38.0,TARGET_1_LINEAR
3956.0025143736225,97.23067917841522,9952.935754088332,-1.1935640305892623,39.0,TARGET_1_LINEAR
4053.1453247969025,97.14281042328021,9951.885035086347,-1.0507190019845638,40.0,TARGET_1_LINEAR
4150.879292838079,97.73396804117682,9950.627007997053,-1.2580270892940228,41.0,TARGET_1_LINEAR
4248.289863438098,97.41057060001955,9949.168278090325,-1.4587299067278374,42.0,TARGET_1_LINEAR
4346.066594885198,97.77673144710039,9947.84104862746,-1.3272294628639636,43.0,TARGET_1_LINEAR
4443.631422250792,97.56482736559357,9946.719126137841,-1.121922489618621,44.0,TARGET_1_LINEAR
4541.235080636125,97.60365838533279,9945.984661644436,-0.7344644934054654,45.0,TARGET_1_LINEAR
4638.557917783906,97.32283714778185,9945.119132292391,-0.8655293520445727,46.0,TARGET_1_LINEAR
4735.723911670435,97.165993886529,9943.668196961095,-1.45093533129742,47.0,TARGET_1_LINEAR
4833.008353667789,97.28444199735482,9942.32168373867,-1.3465132224254643,48.0,TARGET_1_LINEAR
4930.294841047801,97.2864873800118,9940.881335662894,-1.4403480757755232,49.0,TARGET_1_LINEAR
5027.015180130993,96.72033908319165,9939.272729458013,-1.6086062048816667,50.0,TARGET_1_LINEAR
5123.598433407574,96.58325327658093,9937.343212345442,-1.9295171125703143,51.0,TARGET_1_LINEAR
5220.1171723994885,96.51873899191453,9935.575315575597,-1.767896769844499,52.0,TARGET_1_LINEAR
5317.390385751887,97.27321335239874,9933.877249930885,-1.6980656447117635,53.0,TARGET_1_LINEAR
5414.766619260575,97.37623350868785,9932.149405919867,-1.7278440110182303,54.0,TARGET_1_LINEAR
5511.375344283143,96.60872502256824,9930.410956358668,-1.738449561197917,55.0,TARGET_1_LINEAR
5608.008161389687,96.63281710654465,9929.657803642463,-0.7531527162038024,56.0,TARGET_1_LINEAR
5704.56403411032,96.5558727206322,9929.025269863194,-0.6325337792703574,57.0,TARGET_1_LINEAR
5801.10602212307,96.5419880127501,9927.925264868876,-1.1000049943181702,58.0,TARGET_1_LINEAR
5898.105139261626,96.9991171385561,9927.126033087632,-0.7992317812434606,59.0,TARGET_1_LINEAR
5995.420669179,97.31552991737333,9925.96304632447,-1.1629867631613562,60.0,TARGET_1_LINEAR
6093.297316820747,97.87664764174777,9924.239319136192,-1.7237271882782685,61.0,TARGET_1_LINEAR
6191.4087073000155,98.11139047926787,9923.391774198237,-0.8475449379542771,62.0,TARGET_1_LINEAR
6289.123883249231,97.71517594921559,9922.317710168441,-1.0740640297953858,63.0,TARGET_1_LINEAR
6386.878919744481,97.75503649525065,9921.042255876999,-1.2754542914418656,64.0,TARGET_1_LINEAR
6484.013690867306,97.13477112282419,9919.794226775479,-1.2480291015194547,65.0,TARGET_1_LINEAR
6580.7235405046395,96.70984963733375,9918.735634646213,-1.058592129265382,66.0,TARGET_1_LINEAR
6677.065620448279,96.34207994364023,9918.297016278955,-0.4386183672583661,67.0,TARGET_1_LINEAR
6773.094399074985,96.02877862670573,9917.729573305214,-0.5674429737406363,68.0,TARGET_1_LINEAR
6869.448584588638,96.3541855136536,9916.6697846049,-1.0597887003142183,69.0,TARGET_1_LINEAR
6965.8937540761335,96.44516948749525,9916.132853006298,-0.5369315986012471,70.0,TARGET_1_LINEAR
7061.695930269804,95.80217619367076,9915.66977495111,-0.46307805518832534,71.0,TARGET_1_LINEAR
7157.602059581174,95.90612931137014,9915.519426044631,-0.15034890647740118,72.0,TARGET_1_LINEAR
7253.0134086081935,95.4113490270189,9914.84089449292,-0.6785315517111117,73.0,TARGET_1_LINEAR
7348.633534261459,95.62012565326566,9914.281156810503,-0.5597376824178373,74.0,TARGET_1_LINEAR
7444.3538570548635,95.72032279340401,9913.859998411883,-0.421158398619047,75.0,TARGET_1_LINEAR
7539.802169959637,95.4483129047726,9913.531741492128,-0.3282569197546456,76.0,TARGET_1_LINEAR
7635.367711853729,95.56554189409208,9912.917744005163,-0.6139974869651927,77.0,TARGET_1_LINEAR
7731.6795635522785,96.31185169854999,9912.493279686561,-0.42446431860047773,78.0,TARGET_1_LINEAR
7827.514893851948,95.83533029966893,9912.331436811415,-0.16184287514694584,79.0,TARGET_1_LINEAR
7922.960351483526,95.445457631578,9912.484427777765,0.152990966350035,80.0,TARGET_1_LINEAR
8018.869247346707,95.90889586318096,9912.309145816775,-0.1752819609906492,81.0,TARGET_1_LINEAR
8115.163493661586,96.29424631487869,9912.298976226559,-0.01016959021604985,82.0,TARGET_1_LINEAR
8211.786564040462,96.62307037887649,9913.047523829404,0.7485476028455291,83.0,TARGET_1_LINEAR
8308.311479172937,96.52491513247534,9913.494576966506,0.44705313710253325,84.0,TARGET_1_LINEAR
8404.480588533563,96.16910936062513,9913.615305989622,0.12072902311635791,85.0,TARGET_1_LINEAR
8500.618857210422,96.13826867685948,9913.872495802665,0.25718981304301547,86.0,TARGET_1_LINEAR
8596.867802207013,96.24894499659149,9914.460558915322,0.588063112657425,87.0,TARGET_1_LINEAR
8693.121947960355,96.25414575334266,9915.630035658842,1.1694767435203517,88.0,TARGET_1_LINEAR
8789.270230980403,96.14828302004747,9917.887580068998,2.257544410156199,89.0,TARGET_1_LINEAR
8885.668780939555,96.39854995915347,9919.802261456589,1.914681387589686,90.0,TARGET_1_LINEAR
8981.638973899484,95.97019295992902,9921.909931810276,2.1076703536869603,91.0,TARGET_1_LINEAR
9077.519781745283,95.88080784579869,9924.3032023616,2.393270551323797,92.0,TARGET_1_LINEAR
9173.58988464091,96.0701028956281,9926.66734134786,2.364138986261048,93.0,TARGET_1_LINEAR
9269.321270049311,95.73138540840074,9928.425541444247,1.7582000963867022,94.0,TARGET_1_LINEAR
9364.874049476884,95.55277942757394,9930.526301058362,2.1007596141160914,95.0,TARGET_1_LINEAR
9460.512466402111,95.63841692522603,9932.128765160993,1.6024641026312962,96.0,TARGET_1_LINEAR
9556.220155697678,95.7076892955665,9933.885356215516,1.756591054522831,97.0,TARGET_1_LINEAR
9651.574302018764,95.35414632108605,9935.703437312417,1.8180810969010421,98.0,TARGET_1_LINEAR
9746.951731827228,95.37742980846444,9937.064330290186,1.3608929777687928,99.0,TARGET_1_LINEAR
9842.472276579832,95.52054475260375,9938.649537078501,1.5852067883160865,100.0,TARGET_1_LINEAR
9938.426041829705,95.95376524987387,9940.656264687632,2.006727609130048,101.0,TARGET_1_LINEAR
10033.828739332397,95.40269750269103,9942.287862280797,1.6315975931639988,102.0,TARGET_1_LINEAR
10129.437450941972,95.60871160957448,9944.124974254326,1.8371119735288823,103.0,TARGET_1_LINEAR
10225.252181626069,95.8147306840969,9947.503178824116,3.378204569790771,104.0,TARGET_1_LINEAR
10321.295268514443,96.04308688837416,9951.33560964998,3.832430825863011,105.0,TARGET_1_LINEAR
10417.719956108214,96.42468759377144,9955.428596976364,4.09298732638533,106.0,TARGET_1_LINEAR
10514.01853600413,96.2985798959153,9959.825171990948,4.396575014582638,107.0,TARGET_1_LINEAR
10610.00798581423,95.98944981010027,9964.127019562835,4.3018475718866345,108.0,TARGET_1_LINEAR
10705.8032902052,95.79530439096862,9968.461616790477,4.334597227641163,109.0,TARGET_1_LINEAR
10802.524458022837,96.72116781763803,9972.04930794108,3.587691150604464,110.0,TARGET_1_LINEAR
10899.520129916626,96.99567189378784,9974.99191274321,2.9426048021286033,111.0,TARGET_1_LINEAR
10996.327029064098,96.80689914747207,9978.370097784125,3.37818504091555,112.0,TARGET_1_LINEAR
11093.159640219208,96.83261115511026,9981.317184913869,2.9470871297438275,113.0,TARGET_1_LINEAR
11189.706129890614,96.54648967140626,9984.536111143187,3.218926229317698,114.0,TARGET_1_LINEAR
11285.960472909333,96.25434301871941,9987.841620808336,3.305509665150488,115.0,TARGET_1_LINEAR
11382.233044664015,96.27257175468094,9990.886490334444,3.044869526108161,116.0,TARGET_1_LINEAR
11479.363194054426,97.13014939041106,9994.18492746948,3.2984371350353654,117.0,TARGET_1_LINEAR
11575.683286410174,96.32009235574802,9997.557946330422,3.3730188609431364,118.0,TARGET_1_LINEAR
11671.738664180015,96.05537776984066,10001.271938525284,3.713992194861626,119.0,TARGET_1_LINEAR
11767.477033654483,95.73836947446758,10004.940036143558,3.6680976182748664,120.0,TARGET_1_LINEAR
11863.417398040543,95.94036438605976,10008.954435839501,4.014399695942915,121.0,TARGET_1_LINEAR
11958.87764386378,95.46024582323744,10012.835035041107,3.8805992016065356,122.0,TARGET_1_LINEAR
12054.147911562553,95.27026769877305,10016.454302549684,3.619267508577051,123.0,TARGET_1_LINEAR
12150.12436095744,95.97644939488549,10020.235562742646,3.781260192961433,124.0,TARGET_1_LINEAR
12245.59645677059,95.47209581315147,10024.38396771443,4.148404971783344,125.0,TARGET_1_LINEAR
12341.917415062548,96.32095829195653,10028.945358790434,4.561391076003803,126.0,TARGET_1_LINEAR
12437.630625368123,95.71321030557492,10033.313056237292,4.367697446857302,127.0,TARGET_1_LINEAR
12533.850600133374,96.21997476524957,10037.397685897902,4.08462966060979,128.0,TARGET_1_LINEAR
12630.248102669882,96.39750253650807,10041.792169179884,4.3944832819815245,129.0,TARGET_1_LINEAR
12726.27483301776,96.02673034787684,10046.16284231944,4.370673139556804,130.0,TARGET_1_LINEAR
12821.005056429609,94.73022341184921,10050.123760402463,3.9609180830230883,131.0,TARGET_1_LINEAR
12915.634252580901,94.62919615129195,10053.5855652127,3.4618048102371484,132.0,TARGET_1_LINEAR
13010.916413253766,95.2821606728646,10056.475313471752,2.889748259052895,133.0,TARGET_1_LINEAR
13106.022556131951,95.1061428781858,10059.41735796172,2.9420444899673317,134.0,TARGET_1_LINEAR
13201.705208325764,95.68265219381226,10061.785057591216,2.367699629495556,135.0,TARGET_1_LINEAR
13297.853126020438,96.14791769467425,10064.156850445119,2.371792853903391,136.0,TARGET_1_LINEAR
13393.608440254693,95.75531423425507,10066.713484688727,2.5566342436086993,137.0,TARGET_1_LINEAR
13489.443378367178,95.83493811248445,10069.030032181472,2.3165474927451815,138.0,TARGET_1_LINEAR
13585.306237313658,95.86285894648046,10071.192454235472,2.1624220540004773,139.0,TARGET_1_LINEAR
13681.21450319824,95.90826588458096,10073.61972855928,2.427274323808896,140.0,TARGET_1_LINEAR
13777.75717580928,96.5426726110391,10075.55187668356,1.9321481242781562,141.0,TARGET_1_LINEAR
13875.153061770181,97.3958859609016,10076.703189688029,1.1513130044691553,142.0,TARGET_1_LINEAR
13972.488233693068,97.33517192288735,10078.089829575092,1.386639887062986,143.0,TARGET_1_LINEAR
14069.935802363048,97.44756866998137,10079.227389654226,1.1375600791347484,144.0,TARGET_1_LINEAR
14167.300122132887,97.36431976983846,10080.167749359498,0.9403597052712153,145.0,TARGET_1_LINEAR
14264.428695999948,97.12857386706078,10081.447949903577,1.2802005440796251,146.0,TARGET_1_LINEAR
14361.700076061396,97.2713800614468,10082.450986609552,1.0030367059753633,147.0,TARGET_1_LINEAR
14459.331296073016,97.6312200116201,10083.576943123879,1.125956514326007,148.0,TARGET_1_LINEAR
14557.287660932172,97.95636485915568,10084.954751174973,1.377808051095452,149.0,TARGET_1_LINEAR
14654.91242778696,97.62476685478686,10086.10848680999,1.153735635016664,150.0,TARGET_1_LINEAR
14752.836112083796,97.92368429683616,10087.50637055118,1.39788374119005,151.0,TARGET_1_LINEAR
14850.751435743046,97.9153236592505,10088.951185245694,1.4448146945135627,152.0,TARGET_1_LINEAR
14949.177825360612,98.42638961756587,10090.159371384674,1.2081861389792308,153.0,TARGET_1_LINEAR
15047.823053930646,98.6452285700339,10091.28668046268,1.1273090780056731,154.0,TARGET_1_LINEAR
15146.381210019388,98.558156088743,10092.85350028148,1.5668198188005493,155.0,TARGET_1_LINEAR
15245.269532647726,98.88832262833822,10094.745723954682,1.8922236732008049,156.0,TARGET_1_LINEAR
15344.680046798925,99.41051415119995,10096.646349164535,1.9006252098539085,157.0,TARGET_1_LINEAR
