,precision,id_precision,recall,f1_score,id_f1,mota,id_switches,rmse_pos_m,rmse_x_m,rmse_y_m,rmse_z_m,rmse_vel_mps,rmse_vx_mps,rmse_vy_mps,rmse_vz_mps,nees
Basic (CV),0.33420845366237856,0.33158309267524283,0.5342005874947545,0.41117571059431524,0.4091827715571223,-0.5342005874947544,40.0,262.7764557888888,149.41263745324426,130.1029956899927,172.62832907354746,9.327515534688954,3.281527833248619,8.422489505864851,2.3012587105918456,31.01302149048093
Advanced (CA+CI),0.6003824091778203,0.596264156493602,0.4282417121275703,0.49990815014389806,0.4984748083498576,0.14026437263952996,28.0,277.4756127229196,151.72336925501583,135.3591429516245,188.81376352709952,9.854207396633916,4.451981612049758,7.0739402782099186,5.219639075852354,14.20181122042808
IMM (CI),0.4062303617919023,0.40371667115539994,0.4747167436005036,0.4378114266363505,0.43634738899676817,-0.2220939991607218,28.0,278.2280718643326,153.76053273442992,137.30058186521873,186.8612018746559,7.843030969945626,2.043856904431808,7.360196659139749,1.7785637150579414,33.61613801915205
