event_type,time,label,sensor,local_track_id,source_map_track_id,source_d2_xy,source_gate_xy,source_d2_z,source_gate_z,source_xy_rejected,source_z_rejected,accepted_stage,assigned_global_track_id,created,revived
measurement,296.64,HEDEF_1,RADAR_A,RADAR_A-T1642,GT-0052,0.7875304638012369,16.014326314940615,0.3626733742158874,11.618285980628052,False,False,source_map,GT-0052,False,False
measurement,297.0,HEDEF_4,RADAR_B,RADAR_B-T1307,GT-0017,0.7805519049996025,22.42005684091686,3.2670911066381283,16.265600372879273,False,False,source_map,GT-0017,False,False
measurement,297.46,HEDEF_4,RADAR_A,RADAR_A-T2442,,,,,,False,False,hungarian,GT-0017,False,False
measurement,297.46,HEDEF_5,RADAR_A,RADAR_A-T7602,GT-0004,2.1033528912414434,16.014326314940615,0.07147768777140157,11.618285980628052,False,False,source_map,GT-0004,False,False
measurement,297.95,HEDEF_2,RADAR_A,RADAR_A-T2210,,,,,,False,False,hungarian,GT-0061,False,False
measurement,297.96,HEDEF_1,RADAR_C,RADAR_C-T1600,,,,,,False,False,hungarian,GT-0052,False,False
measurement,297.96,HEDEF_5,RADAR_C,RADAR_C-T7087,GT-0004,11.206803116272564,16.014326314940615,1.0163825734672052,11.618285980628052,False,False,source_map,GT-0004,False,False
measurement,298.17,HEDEF_3,RADAR_A,RADAR_A-T2266,,,,,,False,False,hungarian,GT-0031,False,False
measurement,299.27,HEDEF_1,RADAR_A,RADAR_A-T1642,GT-0052,7.991124825330524,22.42005684091686,0.00017162946673828162,16.265600372879273,False,False,source_map,GT-0052,False,False
measurement,299.59,HEDEF_2,RADAR_B,RADAR_B-T8403,GT-0061,0.9420289224047734,16.014326314940615,1.628514386884118,11.618285980628052,False,False,source_map,GT-0061,False,False
measurement,299.59,HEDEF_5,RADAR_B,RADAR_B-T2923,GT-0004,2.3201235502711737,22.42005684091686,2.5080752621752724,16.265600372879273,False,False,source_map,GT-0004,False,False
measurement,299.93,HEDEF_3,RADAR_B,RADAR_B-T7473,,,,,,False,False,hungarian,GT-0031,False,False
measurement,300.32,HEDEF_2,RADAR_A,RADAR_A-T2210,GT-0061,2.2522647770234485,16.014326314940615,7.835243366201924,11.618285980628052,False,False,source_map,GT-0061,False,False
measurement,300.32,HEDEF_5,RADAR_A,RADAR_A-T7602,GT-0004,25.622193947821245,22.42005684091686,4.0538694403483815,16.265600372879273,True,False,create,GT-0070,True,False
