time,global_track_id,x,y,vx,vy,prob
16.14,GT-0003,8495.848907878786,14650.502501075718,-94.8562317573425,-31.18388151959886,0.924
16.14,GT-0004,1844.2286938761906,9914.896835027379,97.80197331624179,-1.22557741809813,0.883
27.99,GT-0055,7352.622345190162,14185.892536459436,-82.73917436395243,-51.941361381160455,0.865
42.71,GT-0094,6343.809383676677,13099.902706693423,-64.91515304805013,-77.27372559385863,0.904
54.41,GT-0114,5691.4779614927165,12125.663450662372,-48.54896760355117,-87.0516315260638,0.919
68.37,GT-0146,5949.810908104846,12667.86553790347,50.47742438241746,87.3155431127287,0.881
79.17,GT-0004,8023.259987106665,9761.620002606156,96.42422647138174,-0.6705722983747121,0.877
90.13,GT-0201,7097.644552297788,14485.922883189602,81.479701999627,56.7441556502518,0.902
90.13,GT-0216,7433.352814219569,14079.988527347474,82.84342431218322,54.29316119250676,0.968
101.83,GT-0004,10194.28647965036,9790.403873976802,94.6008017295599,0.5573549187490952,0.885
128.68,GT-0004,12812.386171085232,9857.672009297066,95.6439980635528,2.9327722672574614,0.876
128.68,GT-0310,9191.223935584758,14828.102448937427,-98.9945235462662,-14.843048583139298,0.976
142.06,GT-0085,13668.906303539465,10329.541753768435,96.1544211021648,2.1839468948228125,0.873
142.06,GT-0324,7921.075104897601,14376.951175896036,-89.22728958802608,-41.917744184051706,0.983
157.28,GT-0342,15521.368995507672,10025.846635636199,99.37406870903894,2.8916720691401467,0.927
157.28,GT-0372,6679.924077732275,13480.777918562164,-75.58802638475524,-64.24031035371402,0.883
168.36,GT-0342,16625.535602110805,10024.63413311689,100.52846055622616,0.9581235890773774,0.856
179.79,GT-0342,17733.859794605287,10016.58087225461,98.02165589970335,0.6846882855204405,0.883
187.89,GT-0342,18524.749019187468,10026.12656212405,101.91673378699403,1.295146718390558,0.893
202.36,GT-0508,6616.42675678098,13932.325609420783,76.12586382162681,66.69313789967039,0.904
202.36,GT-0509,6810.895161681496,13641.039150286808,74.06362498425456,67.24065541955252,0.884
212.55,GT-0509,7648.258664622443,14239.125247856604,87.24501609059676,50.05808721722177,0.981
224.27,GT-0573,8703.49582499829,14672.284029401992,96.73739671222553,32.55650537018908,0.881
235.77,GT-0612,9836.7039105299,14881.999172103238,99.28198881533734,8.818314619076862,0.934
277.55,GT-0709,6646.083585815416,13498.108417708436,-70.4464895382689,-66.81924282589725,0.986
290.7,GT-0708,28463.129407850036,10612.873224516514,100.568161360067,-2.5707042473633743,0.904
290.7,GT-0760,5872.486281866385,12424.321237492599,-51.2408432536461,-87.68991338378265,0.929
