time,global_track_id,x,y,vx,vy,pos_sigma_m,fused_tq,prob,n_linked_sources
5.04,GT-0004,873.5619521787506,9951.451814418617,99.84182258981797,1.7963975352078645,52.520259509466136,13,0.95,1
5.12,GT-0003,9521.490311633683,14814.704917635729,-97.6497989574607,-11.114868326872852,121.30991372712681,10,0.892,1
5.12,GT-0004,881.549297985936,9951.595526221434,99.84182258981797,1.7963975352078645,52.52541830117943,13,0.922,1
6.3,GT-0003,9406.263548863879,14801.589373010018,-97.6497989574607,-11.114868326872852,121.33570824485203,10,0.865,1
6.3,GT-0004,999.3626486419212,9953.71527531298,99.84182258981797,1.7963975352078645,52.64550526916681,13,0.894,1
7.32,GT-0003,9351.784280955419,14839.125020179066,-95.58411409071043,-16.125030804764037,69.39582167823718,12,0.976,1
7.32,GT-0004,1101.2013076835356,9955.547600798891,99.84182258981797,1.7963975352078645,52.83152104011667,13,0.867,1
7.58,GT-0003,9326.932411291835,14834.932512169828,-95.58411409071043,-16.125030804764037,69.39651850784813,12,0.947,1
7.58,GT-0004,968.9700579507739,10039.825508715938,98.71109617037538,0.3397420468010278,52.46047087454687,13,0.982,1
8.12,GT-0003,9275.316989682851,14826.224995535254,-95.58411409071043,-16.125030804764037,69.40322939040446,12,0.919,1
8.12,GT-0004,1022.2740498827766,10040.008969421211,98.71109617037538,0.3397420468010278,52.463117650181616,13,0.952,1
8.34,GT-0003,9254.288484582896,14822.677488758207,-95.58411409071043,-16.125030804764037,69.40840982450744,12,0.891,1
8.34,GT-0004,1043.9904910402593,10040.083712671507,98.71109617037538,0.3397420468010278,52.466105597155895,13,0.924,1
9.36,GT-0003,9156.792688210371,14806.229957337348,-95.58411409071043,-16.125030804764037,69.45632367888564,12,0.864,1
9.36,GT-0004,1137.2253959169052,9928.175241162498,98.77042956006639,-1.1532909330531196,39.67983328816227,14,0.991,1
9.67,GT-0004,1167.8442290805258,9927.817720973251,98.77042956006639,-1.1532909330531196,39.68049052007061,14,0.962,1
10.9,GT-0004,1289.3318574394075,9926.399173125596,98.77042956006639,-1.1532909330531196,39.708250339550894,14,0.933,1
11.07,GT-0003,8851.29824711842,14729.963079492512,-94.40350112354575,-23.743858280666917,69.37240641685798,12,0.969,2
11.07,GT-0004,1306.1228304646188,9926.203113666976,98.77042956006639,-1.1532909330531196,39.71695226751028,14,0.905,1
11.25,GT-0003,8834.305616916183,14725.689185001993,-94.40350112354575,-23.743858280666917,69.37274108397719,12,0.94,2
11.25,GT-0004,1323.9015077854308,9925.995521299026,98.77042956006639,-1.1532909330531196,39.72786944302561,14,0.878,1
11.53,GT-0003,8807.87263660159,14719.040904683407,-94.40350112354575,-23.743858280666917,69.37470159510988,12,0.912,2
11.53,GT-0004,1351.5576755293275,9925.666100572224,98.77819463747922,-1.1553458429579813,39.76200351261306,14,0.978,1
12.04,GT-0003,8759.726851028583,14706.931536960266,-94.40350112354575,-23.743858280666917,69.38371496257818,12,0.884,2
12.04,GT-0004,1401.934554794442,9925.076874192315,98.77819463747922,-1.1553458429579813,39.813372796927986,14,0.949,1
12.79,GT-0003,8735.695996046765,14745.811811848074,-97.82253484373925,-27.642800759172456,52.471662409378204,13,0.984,2
12.79,GT-0004,1476.0182007725514,9924.210364810097,98.77819463747922,-1.1553458429579813,39.926624386385505,14,0.92,1
13.88,GT-0003,8629.069433067089,14715.681159020576,-97.82253484373925,-27.642800759172456,52.484446945023144,13,0.954,2
13.88,GT-0004,1583.686432927404,9922.951037841272,98.77819463747922,-1.1553458429579813,40.19003548709067,14,0.893,1
14.02,GT-0003,8615.374278188965,14711.811166914293,-97.82253484373925,-27.642800759172456,52.48861232032608,13,0.926,2
14.02,GT-0004,1694.020011468766,9896.473380146828,97.86053295860845,-0.5062774661708331,39.67143914094708,14,0.989,1
14.57,GT-0003,8677.143187878595,14728.660793253639,-95.81816269508224,-27.958573700181955,39.67983814771737,14,0.992,2
14.57,GT-0004,1747.8433045960007,9896.194927540435,97.86053295860845,-0.5062774661708331,39.67382162426253,14,0.959,1
14.92,GT-0003,8643.606830935316,14718.875292458575,-95.81816269508224,-27.958573700181955,39.68069617506248,14,0.962,2
14.92,GT-0004,1782.0944911315137,9896.017730427275,97.86053295860845,-0.5062774661708331,39.67899324102915,14,0.931,1
15.57,GT-0003,8581.325025183512,14700.702219553457,-95.81816269508224,-27.958573700181955,39.68955788960836,14,0.933,2
15.57,GT-0004,1845.7101149790121,9895.691470327336,97.86064057056892,-0.5060229024393248,39.72018292556412,14,0.964,2
15.79,GT-0003,8560.245029390595,14694.551333339417,-95.81816269508224,-27.958573700181955,39.695677027017766,14,0.905,2
15.79,GT-0004,1867.2394559045372,9895.580145288799,97.86064057056892,-0.5060229024393248,39.731864220717455,14,0.935,2
16.07,GT-0003,8533.415943835971,14686.722932703366,-95.81816269508224,-27.958573700181955,39.706421156605785,14,0.878,2
16.07,GT-0004,1894.6332869895475,9895.417396979861,97.86072166226151,-0.5081234999568736,39.76400323479433,14,0.986,2
16.1,GT-0003,8530.539856241954,14685.833662056331,-95.81432383375858,-27.97141947384243,39.71626580622245,14,0.983,2
16.1,GT-0004,1897.5691086394154,9895.402153274863,97.86072166226151,-0.5081234999568736,39.76629370811824,14,0.957,2
16.14,GT-0003,8526.707283288604,14684.714805277377,-95.81432383375858,-27.97141947384243,39.71815491750165,14,0.954,2
16.14,GT-0004,1901.4835375059058,9895.381828334865,97.86072166226151,-0.5081234999568736,39.76943620285011,14,0.928,2
17.44,GT-0003,8402.148662304719,14648.351959961383,-95.81432383375858,-27.97141947384243,39.83255126002279,14,0.925,2
17.44,GT-0004,2028.7024756668459,9894.72126778492,97.86072166226151,-0.5081234999568736,39.93642034509353,14,0.9,2
18.01,GT-0003,8347.534497719476,14632.408250861292,-95.81432383375858,-27.97141947384243,39.92349046882067,14,0.897,2
18.01,GT-0004,2084.446351148949,9894.436423070538,97.8609493054252,-0.5134641893538827,40.064392701942275,14,0.986,2
